Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,Yearly Income,Per Capita Inc,User,Total_Credit_Limit,Num_Cards,CUR,Txn_Count,Total_Spend,Mean_Txn,Std_Txn,Max_Txn,CL_Quintile
Easton Cruz,26,71,1993,3,Male,4872 Lexington Avenue,,Doylestown,PA,18902,40.36,-75.09,$49534,$100991,0.0,722,3,100991.0,49534.0,496,178945.0,3,0.0,182,9036.56,49.65142857142857,77.30903296626447,502.33,5
Kassidy Reyes,62,65,1957,6,Female,1305 Spruce Boulevard,7.0,Belle Fourche,SD,57717,44.66,-103.85,$16097,$32819,25393.0,826,5,32819.0,16097.0,497,53670.0,5,47.313210359604994,9263,446102.62,48.159626470905756,84.82414860065585,852.97,4
Aron Roman,30,62,1989,8,Male,437 Madison Street,,Chicago,IL,60626,41.83,-87.68,$23446,$47803,81929.0,652,1,47803.0,23446.0,498,0.0,1,100.0,88,2875.71,32.67852272727273,49.031636251500764,245.92,1
Gordon Neufelder,44,69,1975,9,Male,919 Lafayette Drive,,Medford,OR,97504,42.33,-122.79,$18961,$38661,88636.0,765,3,38661.0,18961.0,499,23454.0,3,100.0,9169,454764.42000000004,49.59803904460683,98.31941460621766,1415.88,2
Dakota Allen,45,66,1974,4,Male,3346 Hillside Street,24.0,Douglassville,PA,19518,40.26,-75.74,$28278,$57658,74288.0,766,5,57658.0,28278.0,500,115556.0,5,64.28744504828828,17211,679700.94,39.49223984660972,86.69619840414093,1952.53,5
Belen Reyes,45,69,1974,5,Female,9891 Valley Drive,,Belzoni,MS,39038,33.17,-90.48,$10909,$22249,20420.0,789,3,22249.0,10909.0,501,11936.0,3,100.0,6981,186196.88,26.67194957742444,52.34801811007236,812.71,1
Zariyah Myers,38,68,1982,2,Female,731 Lincoln Boulevard,,Boca Raton,FL,33486,26.37,-80.1,$31706,$64647,58250.0,738,4,64647.0,31706.0,502,79047.0,4,73.69033612913836,9996,611676.1,61.19208683473389,135.19543705830984,3302.13,5
Lilyana Fernandez,32,64,1987,10,Female,1782 South Boulevard,,Beacon Falls,CT,6403,41.44,-73.04,$28814,$58749,113308.0,768,6,58749.0,28814.0,503,160041.0,6,70.79935766459845,23800,1343056.98,56.43096554621849,74.13254134761573,1355.7,5
Blaire Bailey,46,68,1973,12,Female,8070 Mill Lane,,Saint George,UT,84770,37.18,-113.6,$14470,$29510,47153.0,752,4,29510.0,14470.0,504,26310.0,4,100.0,11570,402467.95,34.7854753673293,62.60678244081592,758.86,2
Malaya Sanchez,53,65,1966,3,Female,696 Oak Boulevard,,Fresno,CA,93710,36.81,-119.75,$17985,$36672,99454.0,655,2,36672.0,17985.0,505,16313.0,2,100.0,5917,391724.51,66.20322967720129,98.85734042952602,991.93,2
Raquel Jackson,41,61,1979,1,Female,1063 Federal Boulevard,8302.0,Canton,MA,2021,42.15,-71.13,$38878,$79271,211919.0,759,1,79271.0,38878.0,506,40176.0,1,100.0,16229,875007.1699999999,53.91627148930926,107.53792695345001,2147.33,3
Isabella Hall,35,68,1985,1,Female,955 11th Street,,High Springs,FL,32643,29.82,-82.59,$19693,$40156,70128.0,738,3,40156.0,19693.0,507,30578.0,3,100.0,31439,832342.02,26.474824899010784,60.35028642484766,683.98,3
Maryam Rivera,30,58,1989,4,Female,341 Hill Drive,,Saint Louis,MO,63129,38.63,-90.24,$28373,$57853,131828.0,558,4,57853.0,28373.0,508,97623.0,4,100.0,13003,512832.02999999997,39.439516265477195,88.96445562607175,1409.85,5
Jessica Reed,73,64,1946,9,Female,862 Martin Luther King Drive,,Germantown,MD,20874,39.17,-77.26,$33637,$37789,24575.0,605,3,37789.0,33637.0,509,63791.0,3,38.524243231803865,17133,889922.13,51.94199089476449,114.35282717612309,1608.57,4
Cullen Ryan,61,63,1958,10,Male,9525 First Boulevard,,Longview,TX,75604,32.51,-94.76,$20531,$41865,60911.0,676,4,41865.0,20531.0,510,51575.0,4,100.0,16449,423600.69,25.752367317162136,67.7759262190981,1320.77,4
Mack Merkel,66,69,1953,3,Male,602 First Street,,Strongsville,OH,44149,41.31,-81.85,$30381,$61937,138153.0,684,7,61937.0,30381.0,511,157267.0,7,87.84614699841671,6950,549998.48,79.13647194244604,137.95809611382498,2704.6,5
Lucinda Xi,32,67,1987,7,Female,698 11th Lane,69.0,Washington,NC,27889,35.55,-77.05,$15827,$32274,72974.0,545,1,32274.0,15827.0,512,10934.0,1,100.0,3546,161327.62,45.49566271855612,81.8181365612716,882.58,1
Bennett Cruz,48,71,1971,3,Male,9570 North Drive,,Rutherford,NJ,7070,40.81,-74.1,$37170,$75785,117920.0,814,3,75785.0,37170.0,513,30087.0,3,100.0,36846,2156402.7700000005,58.52474542691203,74.28077272784755,1857.52,3
Kameron Rodriguez,50,64,1969,4,Male,9762 Pine Street,,Fletcher,NC,28732,35.43,-82.5,$22345,$45560,79660.0,644,3,45560.0,22345.0,514,55196.0,3,100.0,6138,222154.57999999996,36.19331704138155,97.01391090626949,1284.96,4
Marissa Torres,46,67,1973,3,Female,778 Main Avenue,,Kimberly,WI,54136,44.27,-88.34,$20013,$40810,65643.0,614,4,40810.0,20013.0,515,50882.0,4,100.0,17446,652762.8200000001,37.41618823799152,63.729345910137845,1269.08,4
Lyric Gomez,58,67,1961,11,Male,669 Wessex Lane,,Bigelow,AR,72016,34.99,-92.63,$18817,$38371,50530.0,703,3,38371.0,18817.0,516,53161.0,3,95.05088316623088,11530,743569.6799999999,64.48999826539462,62.47591172286142,1020.75,4
Salma Rogers,46,67,1973,10,Female,31 Oak Avenue,,Columbia,SC,29229,34.0,-81.03,$23917,$48762,143208.0,771,6,48762.0,23917.0,517,111975.0,6,100.0,42525,1016366.48,23.90044632569077,71.19003635599239,3261.63,5
Blaine Scott,26,61,1994,2,Male,4840 Summit Lane,,Rescue,CA,95672,38.72,-121.0,$28660,$58435,134789.0,666,2,58435.0,28660.0,518,48241.0,2,100.0,180,8734.83,48.526833333333336,92.07862940911487,479.58,4
Emmanuel Wood,48,68,1971,7,Male,1772 Essex Boulevard,,Vinton,VA,24179,37.27,-79.88,$19188,$39124,66231.0,722,4,39124.0,19188.0,519,54011.0,4,100.0,8236,448395.85,54.443400922778046,106.49461296086452,1518.44,4
Luciano Wilson,50,65,1970,1,Male,720 Seventh Avenue,9.0,Camas,WA,98607,45.64,-122.37,$31226,$63673,147913.0,591,4,63673.0,31226.0,520,91250.0,4,100.0,14743,857763.8200000001,58.18109068710575,87.35927871547769,1065.36,5
Lila Neufelder,34,65,1985,11,Female,5449 Lexington Drive,,Garden Grove,CA,92840,33.78,-117.93,$18679,$38081,28613.0,811,4,38081.0,18679.0,521,50107.0,4,57.10379787255274,16273,581609.75,35.740782277392,71.4156269621413,1664.4,4
Rose Fu,23,61,1996,11,Female,5459 El Camino Avenue,,Blacksburg,SC,29702,35.12,-81.51,$14443,$29450,36002.0,692,1,29450.0,14443.0,522,5400.0,1,100.0,301,10375.51,34.47013289036545,60.91179757406007,439.0,1
Katherine Burns,56,65,1963,12,Female,291 Seventh Drive,,Hudson,IL,61748,40.6,-88.98,$28237,$57576,161107.0,589,2,57576.0,28237.0,523,41336.0,2,100.0,14383,808254.5900000001,56.19513244802893,105.40235943842795,1590.33,3
Amari Martin,31,70,1988,8,Female,9833 Forest Street,,Lawton,OK,73505,34.6,-98.42,$16829,$34311,6971.0,680,4,34311.0,16829.0,524,63142.0,4,11.040195115770803,9131,219243.71000000002,24.010919943051146,66.13895864982916,1374.79,4
Alison Parker,63,65,1956,11,Female,891 El Camino Lane,,Pompano Beach,FL,33062,26.23,-80.13,$26530,$54095,76109.0,753,3,54095.0,26530.0,525,56814.0,3,100.0,23628,1079409.46,45.68348823429829,82.55215869400763,1971.6,4
Sally Fisher,24,65,1995,9,Female,162 Rose Drive,,Stockton,CA,95205,37.96,-121.26,$12089,$24648,32962.0,600,1,24648.0,12089.0,526,3900.0,1,100.0,5863,117935.03,20.115133890499745,44.13932182889271,507.85,1
Dayana Fox,37,61,1982,8,Female,1059 Elm Avenue,8.0,Brighton,CO,80602,39.95,-104.9,$32793,$66863,89031.0,673,1,66863.0,32793.0,527,7200.0,1,100.0,164,9979.029999999999,60.84774390243902,94.76183264377903,464.0,1
Gemma Cooper,61,68,1959,1,Female,475 Oak Boulevard,,Charlotte,NC,28212,35.19,-80.83,$14793,$30165,36972.0,694,2,30165.0,14793.0,528,11826.0,2,100.0,8956,362017.13,40.421742965609646,77.5631776095472,1216.77,1
Lennon Lewis,53,67,1966,6,Male,822 Ocean Street,,Hinsdale,IL,60521,41.8,-87.92,$92938,$189490,448929.0,717,3,189490.0,92938.0,529,243814.0,3,100.0,3792,536049.8999999999,141.36337025316453,228.40761940590107,1721.94,5
Madelynn Abe,19,68,2000,3,Female,671 George Drive,,Georgetown,KY,40324,38.2,-84.55,$23827,$48582,189348.0,546,1,48582.0,23827.0,530,27305.0,1,100.0,33,2221.25,67.31060606060606,75.00238775752183,240.8,2
Derrick Sadr,84,65,1935,12,Male,6478 Valley Stream Avenue,,Levittown,PA,19054,40.15,-74.85,$23207,$26476,406.0,813,5,26476.0,23207.0,531,88567.0,5,0.4584100172750573,15037,656667.98,43.67014564075281,73.67267606696662,1280.01,5
Cayden Murphy,39,69,1980,11,Male,6405 Fifth Avenue,386.0,Manchester,NH,3104,42.99,-71.45,$27706,$56486,116394.0,689,2,56486.0,27706.0,532,23100.0,2,100.0,12275,657340.48,53.55115926680244,83.06767209427018,1228.8,2
Heaven Wright,59,71,1960,3,Female,85 Littlewood Avenue,,San Antonio,TX,78217,29.45,-98.5,$17609,$35906,69819.0,659,3,35906.0,17609.0,533,22100.0,3,100.0,28099,790875.13,28.14602405779565,45.016673007101936,799.37,2
Perla Myers,19,61,2000,4,Female,528 Spruce Lane,7.0,Chesterton,IN,46304,41.6,-87.05,$27261,$55587,151141.0,621,2,55587.0,27261.0,534,23482.0,2,100.0,101,8990.399999999998,89.01386138613859,149.72793591050535,1087.78,2
Paula Leroux,21,67,1998,4,Female,100 Seventh Drive,,Florence,WI,54121,45.93,-88.25,$18016,$36733,0.0,761,3,36733.0,18016.0,535,8837.0,3,0.0,146,3197.81,21.90280821917808,85.472143509371,800.59,1
Iliana Brown,48,66,1971,11,Female,58 Catherine Drive,,Omaha,NE,68136,41.26,-96.01,$33232,$67761,0.0,745,4,67761.0,33232.0,536,41900.0,4,0.0,21628,868818.8300000001,40.171020436471245,62.887698522646396,1194.46,3
Emiliano White,57,56,1963,2,Male,919 Lafayette Avenue,,Murfreesboro,TN,37129,35.85,-86.39,$22760,$36282,14141.0,725,1,36282.0,22760.0,537,22501.0,1,62.84609572907871,5392,309665.48,57.430541543026706,87.31620494988687,1128.04,2
Brenda Masvidal,46,68,1973,7,Female,75 Birch Lane,691.0,Palm Beach Gardens,FL,33410,26.74,-80.12,$27696,$56467,66565.0,688,3,56467.0,27696.0,538,83093.0,3,80.10903445536928,11853,724670.74,61.138170927191425,103.94965006620271,1303.86,5
Elliot Ajami,55,73,1965,2,Female,82 Jefferson Avenue,,Republic,OH,44867,41.12,-83.01,$18462,$37645,46298.0,654,4,37645.0,18462.0,539,56891.0,4,81.38018315726565,30673,779565.55,25.415366935089494,59.89428888480412,1128.07,4
Byron Morales,48,64,1971,11,Male,3034 Third Boulevard,,Worcester,MA,1602,42.26,-71.8,$24506,$49967,62509.0,655,1,49967.0,24506.0,540,25093.0,1,100.0,28911,1255747.2200000002,43.434928573899214,80.84444525025089,1532.94,2
Jakob Johnson,20,67,1999,11,Male,189 Ninth Lane,8.0,Langhorne,PA,19047,40.17,-74.91,$31656,$64548,14864.0,726,1,64548.0,31656.0,541,19991.0,1,74.35345905657546,70,5672.23,81.03185714285713,153.57914135987588,1139.35,2
Bennett Flores,20,66,1999,9,Male,354 Main Drive,,Heathsville,VA,22473,37.91,-76.47,$13938,$28421,77772.0,738,1,28421.0,13938.0,542,29.0,1,100.0,48,478.23,9.963125,25.90993689335635,84.0,1
Tori Bailey,33,65,1986,6,Female,689 Littlewood Lane,1.0,Moulton,AL,35650,34.48,-87.28,$17271,$35213,87653.0,719,3,35213.0,17271.0,543,38562.0,3,100.0,6101,76421.32,12.526031798065892,18.0882685302254,183.3,3
Dexter Thomas,48,67,1971,3,Male,1813 Second Lane,,Kenner,LA,70062,29.99,-90.24,$14696,$29962,55000.0,684,3,29962.0,14696.0,544,43294.0,3,100.0,12252,424122.96,34.616630754162586,64.21121384811975,2301.2,4
Vihaan Ward,49,59,1970,5,Male,710 North Lane,,Bradenton,FL,34203,27.48,-82.57,$17590,$35868,48465.0,562,4,35868.0,17590.0,545,25292.0,4,100.0,31161,949413.3900000001,30.468001347838648,54.956614403220165,2060.2,2
Francisco Masvidal,31,73,1988,7,Male,5558 Littlewood Avenue,,Lovelock,NV,89419,40.32,-118.2,$18734,$38193,39874.0,703,3,38193.0,18734.0,546,27797.0,3,100.0,3798,252111.01,66.37993944181149,104.83135740205186,1178.02,2
Adam Myers,48,66,1972,2,Male,819 Park Boulevard,,Terre Haute,IN,47803,39.47,-87.38,$21131,$43084,0.0,850,3,43084.0,21131.0,547,34572.0,3,0.0,11401,383826.07999999996,33.666001227962454,69.35115044690639,1173.55,3
Bailee Walker,42,72,1977,4,Female,849 Norfolk Lane,,Hubbard,OH,44425,41.16,-80.56,$18351,$37415,66403.0,665,1,37415.0,18351.0,548,14600.0,1,100.0,16526,821425.8200000001,49.70505990560329,88.60563679293061,1065.98,1
Alaric Flores,40,64,1979,12,Male,390 Tenth Street,3.0,Newark,NJ,7103,40.72,-74.17,$17370,$35418,51741.0,660,6,35418.0,17370.0,549,79329.0,6,65.223310516961,29296,675650.31,23.062886059530314,60.23524726455182,1177.59,5
Gustavo Lee,18,62,2002,2,Male,4279 West Boulevard,,Parkton,NC,28371,34.9,-79.01,$15331,$31259,40701.0,798,2,31259.0,15331.0,550,28253.0,2,100.0,180,11139.189999999999,61.88438888888888,77.95666787933388,740.27,3
Uriah Martin,26,66,1993,12,Male,6693 George Drive,,Seattle,WA,98188,47.44,-122.28,$20233,$41255,85439.0,683,2,41255.0,20233.0,551,27228.0,2,100.0,288,8668.02,30.097291666666667,74.47620983612029,927.59,2
Alivia Watson,41,71,1978,3,Female,8 Tenth Drive,2263.0,Raleigh,NC,27610,35.82,-78.65,$17056,$34774,78060.0,850,5,34774.0,17056.0,552,63477.0,5,100.0,9604,527569.0900000001,54.93222511453562,91.38157672632089,1386.36,4
Lauryn James,90,75,1929,11,Female,6245 River Lane,,Poughkeepsie,NY,12603,41.69,-73.92,$27934,$51717,418.0,717,5,51717.0,27934.0,553,138757.0,5,0.30124606326167325,20691,759040.99,36.684596684548836,72.09681161821925,1360.42,5
Dominik Miller,52,62,1967,9,Male,5581 Federal Street,,Bastrop,TX,78602,30.11,-97.3,$20346,$41483,64715.0,584,1,41483.0,20346.0,554,19913.0,1,100.0,17419,552162.1099999999,31.698840920833565,53.809529448290824,1013.34,2
Octavia Butler,28,65,1991,3,Female,99 El Camino Drive,6.0,Barton,MD,21521,39.53,-79.01,$17079,$34825,65082.0,759,1,34825.0,17079.0,555,18648.0,1,100.0,76,3029.8999999999996,39.86710526315789,36.12715634852854,164.46,2
Yosef Cruz,51,72,1969,2,Male,2994 Tenth Lane,,Fayetteville,NC,28306,35.05,-78.87,$18316,$37346,64030.0,680,5,37346.0,18316.0,556,45695.0,5,100.0,17120,533905.9,31.186092289719628,76.6720277642514,1225.65,4
Galilea Gonzalez,58,67,1961,10,Female,927 Ocean View Drive,5.0,Miami,FL,33196,25.77,-80.2,$21923,$44699,21685.0,842,5,44699.0,21923.0,557,49516.0,5,43.79392519589628,13488,506004.6699999999,37.51517422894424,59.54539508637739,1067.76,4
Thatcher Xi,35,73,1984,10,Male,356 Mill Street,,The Villages,FL,32162,28.92,-81.92,$8491,$17316,26872.0,748,1,17316.0,8491.0,558,4600.0,1,100.0,12901,369097.72,28.610008526470814,47.9318882085786,493.0,1
Cody Wood,57,67,1962,3,Male,45 Maple Lane,,Holden,ME,4429,44.75,-68.67,$24259,$49467,77465.0,697,5,49467.0,24259.0,559,51273.0,5,100.0,15885,779611.51,49.078470884482215,92.54341217963957,1254.18,4
Rylee Schmidt,18,68,2001,11,Female,3395 Spruce Drive,,Kansas City,KS,66103,39.1,-94.62,$16795,$34242,0.0,837,1,34242.0,16795.0,560,19079.0,1,0.0,66,3595.6200000000003,54.479090909090914,46.93856816086037,187.75,2
Nicolas Peres,25,63,1994,10,Male,2800 Third Drive,,Birmingham,AL,35244,33.52,-86.79,$34578,$70502,90003.0,614,2,70502.0,34578.0,561,40686.0,2,100.0,247,14767.73,59.78838056680162,55.964479703384654,322.76,3
Brielle Brooks,59,67,1960,9,Female,645 Catherine Lane,9.0,Boston,MA,2127,42.35,-71.06,$39312,$80156,61817.0,735,4,80156.0,39312.0,562,104691.0,4,59.04710051484846,18119,859067.9500000001,47.41254760196479,106.58240160186634,1463.93,5
Danica Watson,51,63,1968,12,Female,1248 Second Drive,,Meriden,CT,6450,41.53,-72.79,$24393,$49737,136056.0,643,1,49737.0,24393.0,563,12200.0,1,100.0,3585,174969.48,48.805991631799166,93.00510062751151,889.63,1
Gregory Ajami,60,60,1959,12,Male,700 Lexington Avenue,,Dover,OH,44622,40.52,-81.47,$18794,$31003,23000.0,699,3,31003.0,18794.0,564,31095.0,3,73.96687570348931,13861,339793.2,24.514335185051586,64.6701753820141,750.01,3
Jennifer Peres,23,66,1996,9,Female,9264 Norfolk Lane,,Orlando,FL,32811,28.5,-81.37,$14405,$29376,51428.0,629,1,29376.0,14405.0,565,3000.0,1,100.0,130,3299.55,25.381153846153847,40.5817880455794,146.46,1
Kathleen Allen,56,63,1963,11,Female,4581 Eighth Boulevard,,Eastman,GA,31023,32.19,-83.17,$14425,$29413,46043.0,703,2,29413.0,14425.0,566,6970.0,2,100.0,17327,480812.64,27.74932994748081,43.526977832265366,495.0,1
Layla Myers,28,64,1992,1,Female,146 Lafayette Drive,,Ridgefield,WA,98642,45.79,-122.69,$27308,$55684,114269.0,722,3,55684.0,27308.0,567,54928.0,3,100.0,94,6281.5999999999985,66.8255319148936,109.71431374078172,932.54,4
Fabian Collins,39,60,1980,10,Male,6757 Eighth Avenue,,Staunton,IL,62088,39.01,-89.78,$20056,$40894,51844.0,657,1,40894.0,20056.0,568,9562.0,1,100.0,13491,809959.37,60.037015047068415,60.49013552537664,993.35,1
Samara Price,64,66,1956,1,Female,599 First Drive,,Fontana,CA,92336,34.14,-117.45,$23172,$47242,62224.0,704,6,47242.0,23172.0,569,70256.0,6,88.5675244818948,8092,495187.27,61.19467004448838,90.88032573996122,1402.49,5
Charles Edwards,65,67,1954,12,Male,654 Birch Lane,,Omaha,NE,68107,41.26,-96.01,$14199,$28951,56777.0,711,2,28951.0,14199.0,570,8047.0,2,100.0,10296,489716.32000000007,47.56374514374515,48.48009825891227,709.17,1
Luka Flores,53,68,1966,6,Male,6223 Lexington Drive,5623.0,Allen,TX,75002,33.1,-96.66,$32580,$66428,197102.0,669,2,66428.0,32580.0,571,42404.0,2,100.0,4547,290085.4,63.79709698702442,108.9411553471231,1720.99,3
Sylvie Brown,52,64,1968,2,Female,25622 Lake Street,6244.0,Pearland,TX,77584,29.55,-95.27,$36253,$73920,166395.0,683,1,73920.0,36253.0,572,43033.0,1,100.0,22909,1359176.72,59.32937797372212,93.23772511063893,2411.06,3
Alaia Jackson,22,73,1998,2,Female,5762 River Lane,83.0,Salt Lake City,UT,84112,40.76,-111.84,$10539,$21490,32587.0,682,2,21490.0,10539.0,573,12700.0,2,100.0,90,3486.33,38.737,45.06450521074084,154.07,1
Marlee Phillips,68,64,1951,4,Female,315 Norfolk Lane,,Somerville,MA,2143,42.39,-71.1,$31849,$59938,36978.0,670,1,59938.0,31849.0,574,17432.0,1,100.0,21729,1263748.8,58.15954714897142,94.8313679144644,1640.92,2
Vladimir Xi,54,65,1965,6,Male,758 Sixth Boulevard,832.0,Monroe,NY,10950,41.32,-74.18,$25534,$52062,97881.0,775,4,52062.0,25534.0,575,63424.0,4,100.0,23168,1504340.69,64.9318322686464,94.66594471162266,1366.37,4
Tyson Young,58,65,1961,10,Male,860 Maple Avenue,9.0,Union City,CA,94587,37.59,-122.06,$29097,$59322,145137.0,694,3,59322.0,29097.0,576,58214.0,3,100.0,10254,715344.54,69.76248683440609,114.30606895967004,2372.11,4
Miya Russell,26,69,1993,9,Female,229 Norfolk Street,,Troy,MI,48083,42.58,-83.14,$26120,$53254,131334.0,736,1,53254.0,26120.0,577,24498.0,1,100.0,10227,416543.54000000004,40.729787816564,86.11553624812991,1236.79,2
Soren Martinez,61,67,1958,11,Male,4975 Madison Boulevard,,Indianapolis,IN,46235,39.77,-86.14,$16045,$32716,46919.0,593,3,32716.0,16045.0,578,47602.0,3,98.56518633670855,9921,384359.8,38.74204213284951,88.09161737355835,1564.11,4
Chandler Morales,79,68,1940,3,Male,5336 Tenth Drive,,Muskegon,MI,49441,43.22,-86.25,$19131,$30977,21507.0,796,5,30977.0,19131.0,579,49948.0,5,43.058781132377675,12649,373035.7,29.49131947189501,88.98501036507078,1061.6,4
Reign Russell,67,71,1952,10,Female,311 Washington Lane,,Adrian,MI,49221,41.89,-84.04,$17144,$34954,5942.0,729,3,34954.0,17144.0,580,31531.0,3,18.844946243379532,7567,438275.39,57.91930619796485,100.24448050854132,2578.41,3
Ellen Watson,47,69,1973,2,Female,1342 Hill Lane,,Chicago,IL,60623,41.83,-87.68,$11951,$24372,63295.0,793,4,24372.0,11951.0,581,26072.0,4,100.0,5498,179286.35,32.60937613677701,61.83908954279664,813.29,2
Guadalupe Chen,51,66,1968,7,Female,2554 11th Lane,67.0,Defiance,OH,43512,41.28,-84.36,$18229,$37169,93844.0,722,3,37169.0,18229.0,582,26575.0,3,100.0,30735,984892.08,32.044642264519275,69.73537435833698,1575.93,2
Blake Sanchez,36,69,1983,8,Male,995 Martin Luther King Street,,Houston,TX,77047,29.76,-95.38,$19554,$39871,73726.0,719,4,39871.0,19554.0,583,35056.0,4,100.0,17648,1202252.75,68.12402255213055,73.3450676224755,1064.09,3
Lauryn Fox,44,68,1976,2,Female,1450 Rose Drive,39.0,Morristown,MN,55052,44.22,-93.44,$19630,$40026,70877.0,768,1,40026.0,19630.0,584,2001.0,1,100.0,7508,163498.01,21.776506393180608,37.912346809516386,798.35,1
Gwen Evans,19,67,2000,3,Female,762 Lake Drive,,Sugar Land,TX,77478,29.61,-95.61,$35183,$71740,38238.0,767,2,71740.0,35183.0,585,19580.0,2,100.0,93,3459.32,37.196989247311826,49.56204103308777,160.0,2
Avery Williams,21,66,1998,8,Male,72834 Grant Boulevard,,Hempstead,NY,11550,40.7,-73.61,$20152,$41087,22720.0,695,2,41087.0,20152.0,586,29217.0,2,77.76294622993463,172,5298.5599999999995,30.805581395348835,73.55252246326084,568.77,3
Maleah Morris,18,55,2001,12,Female,892 Third Boulevard,,Anchorage,AK,99507,61.14,-149.76,$28730,$58579,94998.0,808,1,58579.0,28730.0,587,13600.0,1,100.0,86,4873.429999999999,56.66779069767441,75.90048258573125,459.85,1
Colt Martinez,86,68,1933,9,Male,90 Lexington Drive,,San Antonio,TX,78230,29.45,-98.5,$29557,$33426,1852.0,699,4,33426.0,29557.0,588,68507.0,4,2.703373377902988,29897,2414512.21,80.76101983476603,110.49623419117951,840.08,5
Winnie Nelson,23,65,1997,2,Female,98 Mountain View Drive,30.0,Lafayette,LA,70506,30.21,-92.02,$22001,$44862,78350.0,750,3,44862.0,22001.0,589,61634.0,3,100.0,235,9104.250000000002,38.741489361702136,57.99681498880461,435.54,4
Cade Campbell,34,65,1985,10,Male,8229 Bayview Avenue,,Amherst,OH,44001,41.4,-82.23,$22261,$45388,64749.0,723,1,45388.0,22261.0,590,49.0,1,100.0,9202,137018.96000000002,14.89012823299283,28.630174243752585,495.0,1
Ivan Morales,73,68,1946,9,Male,9355 Ocean View Drive,,Tucker,GA,30084,33.85,-84.22,$22682,$34220,0.0,745,5,34220.0,22682.0,591,57377.0,5,0.0,7475,283838.43,37.97169632107023,77.45974338750169,1229.66,4
Trent Brown,19,66,2000,9,Male,616 Catherine Avenue,,Devon,PA,19333,40.04,-75.42,$58297,$118862,276156.0,782,1,118862.0,58297.0,592,36900.0,1,100.0,94,6264.339999999999,66.64191489361701,131.5357163313496,1089.35,3
Azariah Diaz,20,62,1999,9,Female,825 Norfolk Drive,,Getzville,NY,14068,43.02,-78.75,$29558,$60265,80939.0,582,3,60265.0,29558.0,593,35065.0,3,100.0,148,9606.220000000001,64.9068918918919,78.63103658647763,659.21,3
Khalid Cooper,45,66,1974,3,Male,8385 Mill Boulevard,,Vancleve,KY,41385,37.62,-83.41,$11644,$23740,4313.0,841,3,23740.0,11644.0,594,15546.0,3,27.74347098932201,12310,522682.38999999996,42.459982940698616,53.13172282611276,967.43,2
Fisher Roman,39,67,1980,5,Male,9735 Birch Street,9940.0,Miami,FL,33175,25.77,-80.2,$18828,$38386,74820.0,850,6,38386.0,18828.0,595,52627.0,6,100.0,13438,323029.16,24.038484893585352,61.24752580934973,1171.06,4
Harrison Fisher,46,70,1973,6,Male,285 Washington Street,500.0,Woonsocket,RI,2895,41.99,-71.5,$19065,$38872,86648.0,585,1,38872.0,19065.0,596,13417.0,1,100.0,7539,349594.48,46.37146571163284,69.88840788000995,750.49,1
Anabelle Faraday,37,68,1982,3,Female,49 Tenth Street,,Atlanta,GA,30316,33.72,-84.32,$24196,$49335,51520.0,773,3,49335.0,24196.0,597,15260.0,3,100.0,15013,1397386.6099999999,93.0784393525611,105.27820125229093,1543.05,2
Valerie Scott,50,79,1969,9,Female,6695 River Lane,3.0,Monroe,MI,48161,41.91,-83.38,$19736,$40246,74352.0,641,5,40246.0,19736.0,598,78315.0,5,94.93966673051139,23802,668073.3,28.067948071590624,62.77172288163896,1739.54,5
Kace Gao,50,66,1970,1,Male,1012 Hill Drive,,Chicago,IL,60622,41.83,-87.68,$39789,$81122,112394.0,682,5,81122.0,39789.0,599,99036.0,5,100.0,18796,1285349.28,68.38419238135774,138.86282823426197,3097.99,5
Jayceon Neufelder,18,64,2001,4,Male,5819 Norfolk Drive,56.0,Punta Gorda,FL,33950,26.89,-82.05,$14352,$29265,37375.0,647,1,29265.0,14352.0,600,28.0,1,100.0,31,350.44000000000005,11.30451612903226,43.91442351332651,95.0,1
Darius Evans,51,65,1968,4,Male,774 Wessex Lane,864.0,Gilbert,AZ,85295,33.3,-111.74,$30557,$62304,113416.0,719,4,62304.0,30557.0,601,51316.0,4,100.0,8097,588631.5,72.69748054835124,140.97339900035615,1617.24,4
Dean Lonsdale,54,65,1965,10,Male,6721 Sussex Drive,2761.0,Carrollton,TX,75006,32.98,-96.89,$21381,$43598,15891.0,757,4,43598.0,21381.0,602,69458.0,4,22.878574102335225,16941,837400.69,49.43041674045215,71.61916361325652,1046.95,5
Zavier Allen,54,63,1965,5,Male,990 West Street,10.0,Rosharon,TX,77583,29.37,-95.45,$22856,$46603,57177.0,612,1,46603.0,22856.0,603,12224.0,1,100.0,7543,389594.89999999997,51.64986079809094,81.28556825600769,1832.61,1
Nathan Sanders,26,71,1993,3,Male,7703 Fourth Avenue,58.0,Fort Lauderdale,FL,33311,26.14,-80.13,$14191,$28931,34511.0,711,4,28931.0,14191.0,604,30424.0,4,100.0,4005,102305.57,25.544461922596756,54.80759044173375,716.11,3
